Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
12.352946542,1,0,0,0,1,0,1,1
12.354991167,1,1,0,0,1,0,1,1
12.354991500,1,1,0,1,1,0,1,1
12.354991583,1,1,1,1,1,1,1,1
12.354993375,1,1,0,1,1,1,1,1
12.354993417,1,0,0,0,0,1,1,1
12.354994583,1,1,0,1,0,1,1,1
12.354994625,1,1,1,1,1,1,1,1
12.354995750,1,1,0,1,1,1,1,1
12.354995792,1,1,0,0,0,1,1,1
12.354995875,1,0,0,0,0,1,1,1
12.354997125,1,1,0,0,0,1,1,1
12.354997167,1,1,1,1,1,1,1,1
12.354998292,1,1,0,1,1,1,1,1
12.354998333,1,1,0,0,0,1,1,1
12.354998375,1,0,0,0,0,1,1,1
12.354999417,1,1,0,0,0,1,1,1
12.354999458,1,1,0,1,1,1,1,1
12.354999500,1,1,1,1,1,1,1,1
12.355018625,1,1,0,0,0,1,1,1
12.355018708,1,0,0,0,0,1,1,1
12.355018917,1,1,1,1,1,1,1,1
12.355020917,1,0,0,0,0,1,1,1
12.355021583,1,1,0,0,0,1,1,1
12.355021625,1,1,1,1,1,1,1,1
12.355023333,1,1,0,1,1,1,1,1
12.355023375,1,1,0,1,0,1,1,1
12.355023417,1,1,0,0,0,1,1,1
12.355023458,1,0,0,0,0,1,1,1
12.355024167,1,1,0,1,0,1,1,1
12.355024208,1,1,1,1,1,1,1,1
12.355037958,1,1,0,1,1,0,1,1
12.355038042,1,0,0,0,1,0,1,1
12.355041708,1,1,0,0,1,0,1,1
12.355041792,1,1,0,1,1,0,1,1
12.355041833,1,1,1,1,1,1,1,1
12.355049333,1,0,0,0,0,1,1,1
12.355049542,1,1,1,1,1,1,1,1
12.355059083,1,1,0,1,1,1,1,1
12.355059125,1,0,0,0,0,1,1,1
12.355059708,1,1,0,1,0,1,1,1
12.355059750,1,1,1,1,1,1,1,1
12.355061500,1,1,0,1,1,1,1,1
12.355061542,1,1,0,0,0,1,1,1
12.355061583,1,0,0,0,0,1,1,1
12.355062333,1,1,0,1,0,1,1,1
12.355062375,1,1,1,1,1,1,1,1
12.355068500,1,0,0,0,0,1,1,1
12.355068750,1,1,1,1,1,1,1,1
12.355070625,1,1,0,0,0,1,1,1
12.355070708,1,0,0,0,0,1,1,1
12.355071625,1,1,0,0,0,1,1,1
12.355071667,1,1,0,1,1,1,1,1
12.355071708,1,1,1,1,1,1,1,1
12.355073083,1,1,0,1,1,1,1,1
12.355073125,1,1,0,0,0,1,1,1
12.355073167,1,0,0,0,0,1,1,1
12.355074167,1,1,0,1,1,1,1,1
12.355074208,1,1,1,1,1,1,1,1
12.359550083,1,1,0,1,1,1,1,1
12.359550250,1,1,1,1,1,1,1,1
12.359557542,1,1,0,1,1,1,1,1
12.359557583,1,1,0,1,0,1,1,1
12.359557708,1,1,1,1,1,1,1,1
12.359576708,1,1,0,1,1,1,1,1
12.359576750,1,1,0,1,0,1,1,1
12.359576917,1,1,1,1,1,1,1,1
12.359578917,1,1,0,1,1,1,1,1
12.359578958,1,0,0,0,0,1,1,1
12.359579792,1,1,0,0,0,1,1,1
12.359579833,1,1,0,1,1,1,1,1
12.359579875,1,1,1,1,1,1,1,1
